Title,Year,Publisher,Genre,Console
FIFA Soccer 95,1994,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
FIFA Soccer 96,1995,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Simulation, Sports",Sega Genesis
FIFA Soccer 97,1996,"Electronic Arts, Inc.",Sports,Sega Genesis
Fighting Masters,1991,"American Treco Corporation, Treco",Action,Sega Genesis
Final Blow,1990,"SEGA of America, Inc., Taito Corporation","Action, Sports",Sega Genesis
Final Zone,1990,"Renovation Products, Inc., Tec Toy Indústria de Brinquedos S.A., Wolf Team",Action,Sega Genesis
Fire Mustang,1991,Taito Corporation,Action,Sega Genesis
Firepower 2000,1994,Time Warner Interactive Inc.,Action,Sega Genesis
Fire Shark,1990,"DreamWorks, Toaplan Co., Ltd.",Action,Sega Genesis
Flashback: The Quest for Identity,1993,"Sun Electronics Corp., Tec Toy Indústria de Brinquedos S.A., U.S. Gold Ltd.",Action,Sega Genesis
Flicky,1990,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Flink,1994,Psygnosis Limited,Action,Sega Genesis
The Flintstones,1993,"SEGA Enterprises Ltd., Taito Corporation",Action,Sega Genesis
Foreman for Real,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Sports,Sega Genesis
Forgotten Worlds,1989,"SEGA Europe Ltd., SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Formula One,1993,"Domark Software, Inc., Domark Software Ltd., Tengen Inc.","Racing / driving, Simulation",Sega Genesis
Frank Thomas Big Hurt Baseball,1995,"Acclaim Entertainment, Inc.","Simulation, Sports",Sega Genesis
Frog Feast,2006,Chaos89.com,Action,Sega Genesis
Frogger,1998,"Majesco Sales, Inc.",Action,Sega Genesis
Fun 'N Games,1993,"Tradewest, Inc.",Action,Sega Genesis
Funny World & Balloon Boy,1993,Realtec Corporation,"Action, Compilation",Sega Genesis
Fushigi no Umi no Nadia,1991,Namco Limited,Adventure,Sega Genesis
FX·Unit Yuki,2019,JoshProd,Action,Sega Genesis
Gadget Twins,1992,"GameTek, Inc.",Action,Sega Genesis
Gaiares,1990,"Renovation Products, Inc., Telenet Japan Co., Ltd.",Action,Sega Genesis
