Title,Year,Publisher,Genre,Console
TinHead,1993,"Ballistic, Spectrum Holobyte, Inc.",Action,Sega Genesis
Tintin in Tibet,1995,Infogrames Europe SA,Action,Sega Genesis
Tiny Toon Adventures: Acme All-Stars,1994,"Konami Co., Ltd., Konami (America), Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
Tiny Toon Adventures: Buster's Hidden Treasure,1993,"Konami, Inc.",Action,Sega Genesis
TNN Bass Tournament of Champions,1993,American Softworks Corporation,Sports,Sega Genesis
TNN Outdoors Bass Tournament '96,1996,American Softworks Corporation,Sports,Sega Genesis
Todd's Adventures in Slime World,1992,"Micro World, Renovation Products, Inc.",Action,Sega Genesis
ToeJam & Earl,1991,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
ToeJam & Earl in Panic on Funkotron,1993,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
T?gi ?: King Colossus,1992,SEGA Enterprises Ltd.,Role-Playing (RPG),Sega Genesis
Toki: Going Ape Spit,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Tom and Jerry: Frantic Antics!,1994,"Altron Corporation, Hi-Tech Expressions, Inc.",Action,Sega Genesis
Tom Mason's Dinosaurs for Hire,1993,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Tommy Lasorda Baseball,1989,"SEGA Enterprises Ltd., SEGA of America, Inc.",Sports,Sega Genesis
Tongue of the Fatman,1990,"RazorSoft, Inc., Sanritsu Denki Co., Ltd.",Action,Sega Genesis
Tony La Russa Baseball,1993,"Electronic Arts, Inc.",Sports,Sega Genesis
Top Gear 2,1994,"Vic Tokai, Inc.",Racing / driving,Sega Genesis
Top Pro Golf,1992,"Soft Vision International Co., Ltd.",Sports,Sega Genesis
Total Football,1995,"Acclaim Entertainment, Inc.",Sports,Sega Genesis
Toughman Contest,1995,"Electronic Arts, Inc.",Sports,Sega Genesis
Toxic Crusaders,1992,"SEGA of America, Inc.",Action,Sega Genesis
Toys,1993,"Absolute Entertainment, Inc.",Action,Sega Genesis
Trampoline Terror! ,1990,DreamWorks,"Action, Puzzle",Sega Genesis
Traysia,1992,"Renovation Products, Inc.",Role-Playing (RPG),Sega Genesis
Triple Play 96,1995,"Electronic Arts, Inc.","Simulation, Sports",Sega Genesis
Triple Play: Gold Edition,1996,"Electronic Arts, Inc.",Sports,Sega Genesis
Triple Score: 3 Games In One,1992,SEGA Enterprises Ltd.,Compilation,Sega Genesis
Trouble Shooter,1991,"Vic Tokai Corporation, Vic Tokai, Inc.",Action,Sega Genesis
Troy Aikman NFL Football,1994,"Williams Entertainment, Inc.",Sports,Sega Genesis
True Golf Classics: Waialae Country Club,1994,SEGA Enterprises Ltd.,Sports,Sega Genesis
True Golf Classics: Wicked 18,1994,SEGA Enterprises Ltd.,Sports,Sega Genesis
True Lies,1994,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Action,Sega Genesis
Truxton,1989,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
Turbo Out Run,1992,SEGA Enterprises Ltd.,Racing / driving,Sega Genesis
Turma da Mônica na Terra dos Monstros,1994,"Tec Toy Indústria de Brinquedos S.A., Tectoy S.A.",Action,Sega Genesis
Turrican,1991,"Accolade, Inc., Ballistic",Action,Sega Genesis
Twin Cobra,1991,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A., Treco",Action,Sega Genesis
Twin Hawk,1990,SEGA Enterprises Ltd.,Action,Sega Genesis
Twinkle Tale,1992,Toyo Recording Co.,Action,Sega Genesis
Two Crude Dudes,1992,"Data East Corporation, Data East USA, Inc.",Action,Sega Genesis
Uju Geobukseon,1993,"Samsung Electronics Co., Ltd.",Action,Sega Genesis
Ultimate Mortal Kombat 3,1996,"Williams Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Ultimate Soccer,1993,SEGA Europe Ltd.,Sports,Sega Genesis
Ultraman,1993,MA-BA Corp,Action,Sega Genesis
Uncharted Waters,1992,"KOEI Co., Ltd., KOEI Corporation","Simulation, Strategy / tactics",Sega Genesis
Undead Line,1991,PAL SOFT,Action,Sega Genesis
Universal Soldier,1992,"Accolade, Inc.",Action,Sega Genesis
Unnecessary Roughness '95,1994,"Accolade, Inc.",Sports,Sega Genesis
Urban Strike,1994,"Electronic Arts, Inc.",Action,Sega Genesis
Uwol: Quest for Money,2013,1985 Alternativo,Action,Sega Genesis
Valis,1991,"Renovation Products, Inc., Riot",Action,Sega Genesis
Valis III,1991,"Renovation Products, Inc., Telenet Japan Co., Ltd.",Action,Sega Genesis
Vapor Trail,1991,"Renovation Products, Inc., Riot",Action,Sega Genesis
VectorMan,1995,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Vectorman 2,1996,"SEGA of America, Inc.",Action,Sega Genesis
Venom • Spider-Man: Separation Anxiety,1995,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Verytex,1991,Asmik Corporation,Action,Sega Genesis
Viewpoint,1994,American Sammy Corporation,Action,Sega Genesis
Virtua Fighter 2,1996,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Virtual Bart,1994,"Acclaim Entertainment Ltd., Acclaim Japan, Ltd.",Action,Sega Genesis
Virtual Pinball,1993,"Electronic Arts, Inc.",Simulation,Sega Genesis
Virtua Racing,1994,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Racing / driving,Sega Genesis
Vixen 357,1992,Masaya,"Role-Playing (RPG), Strategy / tactics",Sega Genesis
Volfied,1991,"Taito Corporation, Taito Software Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Puzzle",Sega Genesis
Wacky Worlds Creativity Studio,1994,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Educational, Simulation",Sega Genesis
Wani Wani World,1992,"Kaneko Co., Ltd.",Action,Sega Genesis
Wardner,1991,"Mentrix Software, Inc., Visco Corporation",Action,Sega Genesis
Warlock,1994,"Acclaim Entertainment, Inc., Acclaim Entertainment Ltd., Tec Toy Indústria de Brinquedos S.A., Trimark Interactive",Action,Sega Genesis
WarpSpeed,1993,"Accolade, Inc.",Action,Sega Genesis
Warrior of Rome,1991,Micronet Co. Ltd.,Strategy / tactics,Sega Genesis
Warrior of Rome II,1992,Micronet Co. Ltd.,Strategy / tactics,Sega Genesis
Warsong,1991,"American Treco Corporation, Masaya","Role-Playing (RPG), Strategy / tactics",Sega Genesis
Water Margin: A Tale of Clouds and Wind,1999,"JoshProd, King Tec Information Co., Ltd.",Action,Sega Genesis
Wayne Gretzky and the NHLPA All-Stars,1995,"Tec Toy Indústria de Brinquedos S.A., Time Warner Interactive Inc.",Sports,Sega Genesis
Wayne's World,1993,THQ Inc.,Action,Sega Genesis
WeaponLord,1995,Namco Hometek Inc.,Action,Sega Genesis
Wheel of Fortune,1992,"GameTek, Inc.",Puzzle,Sega Genesis
Where in the World Is Carmen Sandiego?,1992,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Adventure, Educational",Sega Genesis
Where in Time Is Carmen Sandiego?,1992,"Electronic Arts, Inc., Tec Toy Indústria de Brinquedos S.A.","Adventure, Educational",Sega Genesis
Whip Rush,1990,"Renovation Products, Inc., SEGA Enterprises Ltd.",Action,Sega Genesis
Will Harvey's Zany Golf,1990,"Electronic Arts, Inc.",Sports,Sega Genesis
Williams Arcade Classics,1996,"Midway Home Entertainment, Inc.","Action, Compilation",Sega Genesis
Wimbledon Championship Tennis,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Sports",Sega Genesis
Wings of Wor,1991,"DreamWorks, Masaya, SEGA Europe Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Winter Olympics: Lillehammer '94,1994,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A., U.S. Gold Ltd.",Sports,Sega Genesis
Wiz 'n' Liz,1993,Psygnosis Limited,Action,Sega Genesis
Wolfchild,1993,"JVC Musical Industries, Inc.",Action,Sega Genesis
Wolverine: Adamantium Rage,1994,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Wonder Boy in Monster World,1991,"SEGA Enterprises Ltd., SEGA of America, Inc.",Action,Sega Genesis
World Championship Soccer,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
World Championship Soccer II,1994,"SEGA Enterprises Ltd., SEGA of America, Inc.",Sports,Sega Genesis
World Class Leader Board,1992,U.S. Gold Ltd.,Sports,Sega Genesis
World Cup USA 94,1994,"U.S. Gold, Inc., U.S. Gold Ltd.",Sports,Sega Genesis
World Heroes,1994,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
World of Illusion Starring Mickey Mouse and Donald Duck,1992,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
World Series Baseball,1994,"SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Sports,Sega Genesis
World Series Baseball '95,1995,"SEGA of America, Inc.",Sports,Sega Genesis
World Series Baseball '96,1996,"SEGA of America, Inc.",Sports,Sega Genesis
World Series Baseball 98,1997,"SEGA of America, Inc.",Sports,Sega Genesis
World Trophy Soccer,1992,"Virgin Games, Ltd., Virgin Games, Inc.","Simulation, Sports",Sega Genesis
Worms,1996,Ocean Software Ltd.,Strategy / tactics,Sega Genesis
Wrestle War,1991,SEGA Enterprises Ltd.,Sports,Sega Genesis
WWF Raw,1995,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd.",Sports,Sega Genesis
WWF Royal Rumble,1993,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd., Flying Edge, Inc.",Sports,Sega Genesis
WWF Super WrestleMania,1992,"Flying Edge, Inc.",Sports,Sega Genesis
WWF WrestleMania,1995,"Acclaim Entertainment, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Sports",Sega Genesis
XDR: X-Dazedly-Ray,1990,Unipacc,Action,Sega Genesis
Xeno Crisis,2019,Bitmap Bureau Ltd.,Action,Sega Genesis
Xenon 2: Megablast,1990,"Virgin Games, Inc.",Action,Sega Genesis
X-Men,1993,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
X-Men 2: Clone Wars,1995,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
X-Perts,1996,Deep Water,Action,Sega Genesis
Yase Zhuanshuo,1995,Chuanpu Technologies,Role-Playing (RPG),Sega Genesis
Ys III: Wanderers from Ys,1991,"Renovation Products, Inc., Telenet Japan Co., Ltd.",Role-Playing (RPG),Sega Genesis
Y? Y? Hakusho Gaiden,1994,SEGA Corporation,Adventure,Sega Genesis
Y? Y? Hakusho: Maky? T?itsusen,1994,"SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Zan: Yasha Enbukyoku,1991,Wolf Team,Strategy / tactics,Sega Genesis
Zero the Kamikaze Squirrel,1994,Sun Corporation,Action,Sega Genesis
Zero Tolerance,1994,"Accolade, Inc., Tec Toy Indústria de Brinquedos S.A.",Action,Sega Genesis
Zero Wing,1991,"SEGA Enterprises Ltd., Toaplan Co., Ltd.",Action,Sega Genesis
Zombies Ate My Neighbors,1993,"Konami, Inc.",Action,Sega Genesis
Zool,1993,"GameTek, Inc., Gremlin Graphics Software Limited",Action,Sega Genesis
Zoom!,1989,"SEGA Enterprises Ltd., SEGA of America, Inc., Tec Toy Indústria de Brinquedos S.A.","Action, Puzzle",Sega Genesis
Zoop,1995,Viacom New Media,"Action, Puzzle",Sega Genesis
